TARIH;BASLANGIC SAATI;BITIS SAATI;SARJ SURESI (DK);ARAC KM;BASLANGIC YUZDESI;BITIS YUZDESI;SARJ TIPI;SARJ FIRMASI ADI;KW UCRETI;UCRET TIPI;UCRETLI ALINAN KW;UCRETLI ALIM TUTARI;ACIL OSGB'DEN ALINAN KW;ACIL OSGB'YE ODENMEYEN TUTAR;HEDIYE KW;HEDIYE ALIM TUTARI;LOKALIZASYON;WLTP MENZIL;PROFIL MENZIL;ACIKLAMA;;;TOPLAM ŞARJ SÜRESİ;UCRETSIZ ALINAN KW;;;;;;;
9.03.2026;15:30:00;16:27:00;57;1.629;58%;68%;AC;ACIL OSGB;4,3;UCRETSIZ;;;9;38,06;;;ACIL OSGB;356;384,4;;;;;;;;;;;;
11.03.2026;09:27:00;11:50:00;143;1.646;66%;91%;AC;ACIL OSGB;4,3;UCRETSIZ;;;22;95,14;;;ACIL OSGB;476;532,5;;;;;;;;;;;;
7.04.2026;10:45:00;11:15:00;30;1.916;32%;81%;DC;ZES;16,6;UCRETLI;46;763,45;;;;;KARŞIYAKA HOTEL;424;454,7;;;;;;;;;;;;
21.04.2026;04:10:00;04:12:00;2;2.140;44%;47%;DC;OTOWAT;13,98;UCRETLI;3,19;44,6;;;;;M.K.ATATÜRK KSK;246;257,5;;;;;;;;;;;;
21.04.2026;04:15:00;04:46:00;31;2.140;47%;87%;DC;OTOWAT;13,99;UCRETLI;39,28;549,58;;;;;M.K.ATATÜRK KSK;455;504,9;;;;;;;;;;;;
23.04.2026;16:22:00;17:03:00;41;2.298;58%;94%;DC;WAT;14,49;UCRETLI;34,427;498,85;;;;;NOVADA;492;495,4;;;;;;;;;;;;
6.05.2026;17:53:00;18:14:00;21;2.608;34%;72%;DC;OTOWAT;13,99;UCRETLI;36,39;509,03;;;;;M.K.ATATÜRK KSK;377;405,9;;;;;;;;;;;;
6.05.2026;18:18:00;18:49:00;31;2.608;73%;95%;DC;OTOWAT;13,98;UCRETLI;21,54;301,15;;;;;M.K.ATATÜRK KSK;497;570,1;;;;;;;;;;;;
14.05.2026;14:00:00;14:16:00;16;2.930;38%;70%;DC;ZES;16,72;UCRETLI;29;484,87;;;;;KARŞIYAKA HOTEL;366;373,6;;;;;;;;;;;;
23.05.2026;21:45:00;22:20:00;35;3.084;43%;88%;DC;TRUGO;14,98;HEDIYE;;;;;42,697;639,43;VE HOTEL- BOSTANLI;465;500;(TROGO HEDIYE ÇEKİ) ( VE HOTEL) Bayram nedeniyle Trugo 90 kW hediye çeki verdi;;;;;;;;;;;
27.05.2026;10:03:00;10:26:00;23;3.176;67%;85%;DC;TRUGO;14,98;HEDIYE;;;;;16,773;251,2;VE HOTEL- BOSTANLI;445,8;445;(TROGO HEDIYE ÇEKİ) Bayram nedeniyle Trugo 90 kW hediye çeki verdi;;;;;;;;;;;
27.05.2026;12:07:00;13:12:00;65;3.369;24%;100%;DC;LUMICLE;13,49;UCRETLI;71,53;964,94;;;;;OKSİJEN O178;523;346,2;;;;;;;;;;;;
28.05.2026;14:22:00;14:35:00;13;3.569;54%;60%;DC;SHELL RECHARGE;15,91;ISKONTOLU UCRETLI;2,77;44,07;;;2,77;44,07;GEMLİK SHELL;486;371,2;(GEMLİK) %50 İNDİRİM KAMPANYASI. PARANIN YARISI İADE EDİLECEK;;;;;;;;;;;
28.05.2026;14:40:00;15:08:00;28;3.569;60%;93%;DC;SHELL RECHARGE;15,91;ISKONTOLU UCRETLI;15,86;252,24;;;15,86;252,24;GEMLİK SHELL;486;371,2;(GEMLİK) %50 İNDİRİM KAMPANYASI. PARANIN YARISI İADE EDİLECEK;;;;;;;;;;;
28.05.2026;23:11:00;01:14:00;123;3.735;59%;99%;AC;ZES;9,99;UCRETLI;39,5;394,61;;;;;İST. HİLTON GARDEN;518;420,8;;;;;;;;;;;;
29.05.2026;21:52:00;21:55:00;3;3.836;79%;80%;AC;ZES;9,99;UCRETLI;1,116;11,15;;;;;İST. HİLTON GARDEN;507;462,3;;;;;;;;;;;;
29.05.2026;22:27:00;23:17:00;50;3.836;80%;97%;AC;ZES;9,99;UCRETLI;16,79;167,7;;;;;İST. HİLTON GARDEN;507;462,3;;;;;;;;;;;;
30.05.2026;23:57:00;00:48:00;51;3.912;84%;99%;AC;ZES;9,99;UCRETLI;15,44;154,21;;;;;İST. HİLTON GARDEN;518;498,9;;;;;;;;;;;;
31.05.2026;16:31:00;17:27:00;56;4.119;56%;92%;DC;TRUGO;14,98;HEDIYE;;;;;34,18;511,88;İST-İZM OKSİJEN;481;410,2;TRUGO HEDIYE ÇEKİ;;;;;;;;;;;
31.05.2026;19:50:00;20:08:00;18;4.319;38%;77%;DC;TESLA;12,3;UCRETLI;36,508;449,04;;;;;İST-İZM OKSİJEN AKHİSAR;403;270,2;;;;;;;;;;;;
5.06.2026;08:37:00;12:09:00;212;4.447;40%;80%;AC;VOLTRUN;9,9;UCRETLI;36,98;365,96;;;;;EGE PERLA AVM;418;325,6;;;;;;;;;;;;
9.06.2026;10:20:00;13:02:00;162;4.566;63%;98%;AC;ACIL OSGB;4,3;UCRETSIZ;;;31;133,19;;;ACIL OSGB;513;465,9;0;;;;;;;;;;;
11.06.2026;15:40:00;18:27:00;167;4.759;59%;89%;AC;ACIL OSGB;4,3;UCRETSIZ;;;27;114,17;;;ACIL OSGB;465;374,7;;;;;;;;;;;;
15.06.2026;09:39:00;12:47:00;188;4.886;66%;99%;AC;ACIL OSGB;4,3;UCRETSIZ;;;29;125,58;;;ACIL OSGB;567;518;;;;;;;;;;;;
19.06.2026;13:08:00;16:38:00;210;5.103;62%;100%;AC;ACIL OSGB;4,3;UCRETSIZ;;;34;144,61;;;ACIL OSGB;523;615,3;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
